iter	Passed	Remaining
0	165	49570
1	184	27550
2	202	20039
3	217	16119
4	229	13553
5	238	11670
6	245	10270
7	252	9234
8	259	8396
9	267	7749
10	273	7183
11	280	6727
12	286	6328
13	293	5996
14	300	5712
15	307	5460
16	315	5246
17	322	5046
18	330	4885
19	336	4717
20	344	4580
21	352	4457
22	359	4332
23	366	4214
24	373	4107
25	381	4022
26	389	3933
27	396	3852
28	405	3785
29	411	3707
30	419	3639
31	427	3581
32	434	3519
33	443	3467
34	451	3416
35	460	3377
36	469	3334
37	476	3285
38	484	3239
39	491	3195
40	499	3155
41	507	3117
42	516	3084
43	524	3053
44	532	3017
45	540	2984
46	547	2946
47	554	2912
48	563	2885
49	571	2855
50	579	2830
51	586	2798
52	594	2771
53	601	2742
54	610	2719
55	617	2690
56	625	2666
57	633	2641
58	641	2618
59	649	2598
60	657	2576
61	665	2554
62	673	2532
63	680	2509
64	688	2488
65	696	2467
66	704	2448
67	711	2428
68	719	2408
69	727	2389
70	735	2372
71	744	2356
72	752	2338
73	760	2321
74	767	2303
75	776	2288
76	784	2272
77	792	2255
78	800	2238
79	808	2223
80	815	2205
81	823	2190
82	830	2172
83	839	2158
84	847	2142
85	854	2125
86	861	2110
87	869	2095
88	877	2081
89	885	2066
90	893	2052
91	901	2037
92	909	2023
93	916	2009
94	924	1995
95	931	1980
96	940	1968
97	948	1954
98	957	1943
99	964	1928
100	972	1916
101	980	1902
102	988	1889
103	995	1875
104	1003	1862
105	1010	1848
106	1018	1837
107	1037	1844
108	1049	1838
109	1058	1828
110	1065	1814
111	1075	1805
112	1082	1791
113	1089	1778
114	1096	1764
115	1104	1751
116	1110	1737
117	1118	1725
118	1125	1712
119	1133	1699
120	1140	1686
121	1147	1674
122	1154	1661
123	1162	1649
124	1169	1637
125	1176	1624
126	1183	1612
127	1192	1601
128	1201	1592
129	1208	1580
130	1216	1569
131	1224	1558
132	1232	1547
133	1240	1536
134	1247	1524
135	1255	1514
136	1263	1503
137	1270	1491
138	1277	1480
139	1285	1469
140	1293	1458
141	1301	1448
142	1308	1436
143	1317	1427
144	1325	1416
145	1334	1407
146	1341	1396
147	1349	1386
148	1357	1375
149	1366	1366
150	1373	1355
151	1381	1344
152	1388	1333
153	1395	1323
154	1403	1312
155	1410	1302
156	1419	1292
157	1426	1282
158	1433	1271
159	1441	1260
160	1449	1251
161	1456	1240
162	1464	1231
163	1471	1220
164	1479	1210
165	1487	1200
166	1495	1190
167	1503	1181
168	1511	1171
169	1518	1161
170	1525	1150
171	1532	1140
172	1540	1130
173	1547	1120
174	1554	1110
175	1563	1101
176	1569	1090
177	1576	1080
178	1583	1070
179	1592	1061
180	1600	1051
181	1607	1042
182	1615	1032
183	1622	1023
184	1629	1012
185	1637	1003
186	1645	994
187	1652	984
188	1660	975
189	1667	965
190	1675	955
191	1682	946
192	1689	936
193	1696	926
194	1703	917
195	1710	907
196	1718	898
197	1725	888
198	1732	879
199	1740	870
200	1747	860
201	1755	851
202	1763	842
203	1770	833
204	1777	823
205	1784	814
206	1792	805
207	1800	796
208	1807	787
209	1815	777
210	1823	769
211	1830	759
212	1838	750
213	1845	741
214	1852	732
215	1860	723
216	1868	714
217	1875	705
218	1882	696
219	1890	687
220	1897	678
221	1905	669
222	1912	660
223	1921	651
224	1928	642
225	1936	633
226	1944	625
227	1952	616
228	1960	607
229	1968	598
230	1975	590
231	1982	581
232	1990	572
233	1997	563
234	2005	554
235	2012	545
236	2020	537
237	2027	528
238	2034	519
239	2041	510
240	2049	501
241	2057	493
242	2064	484
243	2071	475
244	2078	466
245	2085	457
246	2092	449
247	2099	440
248	2106	431
249	2114	422
250	2121	414
251	2128	405
252	2135	396
253	2142	388
254	2150	379
255	2157	370
256	2165	362
257	2172	353
258	2180	345
259	2187	336
260	2194	327
261	2201	319
262	2207	310
263	2216	302
264	2224	293
265	2231	285
266	2238	276
267	2245	268
268	2252	259
269	2259	251
270	2266	242
271	2273	234
272	2281	225
273	2287	217
274	2295	208
275	2302	200
276	2309	191
277	2316	183
278	2323	174
279	2330	166
280	2337	158
281	2345	149
282	2353	141
283	2360	132
284	2367	124
285	2374	116
286	2382	107
287	2388	99
288	2396	91
289	2403	82
290	2410	74
291	2416	66
292	2422	57
293	2429	49
294	2436	41
295	2443	33
296	2449	24
297	2456	16
298	2463	8
299	2470	0
